233.47021117935-34.9979113950533j,7.31858039168321-53.1681976036593j,-87.5114700667022-105.839834329932j,-15.9847284627047+7.1371925234544j,-22.3718008500011-30.3450266733599j,32.1241667246833-83.3389024656577j,7.94803633122888-1.05248851072582j,101.93109058224+6.27223934783673j,139.328072729735-82.983473570055j,105.904980474319+136.632301572162j
-103.057586674135+86.2474690647859j,29.4004777071621-14.1701999706641j,47.0764498908701-26.1364408940372j,105.685592432231-36.7976120281908j,-33.5626910071894-16.0236632594791j,29.6556624299007+18.9381124632915j,-33.6837113406644+33.9242625283612j,-45.0870141573578-0.388479716680145j,-3.27370580674201+97.1916387852643j,-53.0170074577753-193.110871394704j
140.193855483619-20.116976583949j,8.70249836286558+11.69303657975j,-34.285886324347-43.1989270794973j,57.3393212411331-17.7917665722629j,-2.54306633663025-107.585955316403j,40.9850477662415-155.394820604281j,-0.906271771681524+14.9245554430958j,24.259248534506-11.5416457318507j,51.9199473395797-94.0721700130475j,98.3598568518645+0.914000419454544j
0.960277168419722+37.7507437496507j,22.142659460475-80.9825063792292j,-33.8892280961317-89.8095074865038j,35.7709044759552+0.123576698870288j,-36.8696469082321+70.0114787001699j,23.6019102108798+108.452294880779j,-16.6385375132812+8.77284376019492j,42.1124302093461+1.53126379568248j,101.6130476451+89.4643390829977j,-11.6866877368901-37.1617350643975j
53.8265224358389+45.1924715846148j,18.5777362321989+64.3394518731322j,52.4968595861306+5.31551700768305j,105.757835086544-59.5798196204215j,-20.2375423289259-178.816554023961j,34.8729303552235-243.740692625109j,-19.7062135032404+45.5235707466568j,-50.6394941759893+1.41974000067772j,-46.7173051361579-70.9989752235151j,29.8068844424295-138.566161277963j
51.3673166006101-25.55341745213j,13.3109992523161-109.258446048787j,-107.396665196821-112.291126132163j,17.5637896897527+28.6517146106654j,-6.72627560031442+109.053254293932j,39.2468449687978+172.437820982644j,0.375442618649998-19.8019530559106j,85.8613952246063-20.0155329751607j,172.512497553614+55.3761543122946j,58.5705896068789+52.0544149763911j
48.6733352472667+80.2706929722764j,19.2787320064973+62.1719863667583j,89.3450173701024+1.71932548051393j,91.5740669728606-66.4759213474534j,-53.979044453065-174.110008521983j,11.651973924837-269.733824832817j,-30.5168820040808+66.0385363350921j,-53.3530008019702+19.5249567297864j,-76.0541809920091-41.6132410974433j,-19.4329352503857-162.529715546831j
18.5523121894004-18.047277387173j,23.8013819711997-80.3586875256898j,-99.3338430015457-89.4499707217853j,54.9063012345316+3.34024352561756j,15.3453236096119+63.4854617584742j,58.6885775678137+152.250665918467j,5.36116617872745-26.0335386880112j,48.3186572884386-24.0971566285671j,157.951759015495+40.3662346181265j,60.5202900896703+11.1195760714619j
104.462184576142+21.6324005933813j,-4.33586224633889+14.4670197599423j,33.5457125547253-26.7332321279166j,43.3032791075728-15.0355055332232j,-57.7153943193923-98.6341050460983j,0.6817758593935-210.483136244361j,-29.5701154376956+56.5892099215297j,12.6362556109982+1.78288001804786j,-26.7474165741209-52.8564566496934j,32.5083017354595-77.7258175586407j
-37.3786423121343+79.8968162106275j,55.2838663947957-27.7884699270422j,-12.1278828187531-67.4544146355386j,97.7893549831661-67.5113113196724j,-3.98651285004628-20.5754336915804j,54.0640233205812+66.711708516446j,2.16899791634331-1.69670179773744j,-27.8041234475877+14.446412760856j,91.5531483449497+75.3023457553028j,-42.8562687817788-89.5995082702698j
142.806219479657-97.220823016959j,-36.9085282716558-31.0924050554356j,-66.2336077718241-32.9025310068229j,15.9302280914515+54.3469837740619j,-23.9572337245117-25.921730305947j,15.6741246629279-121.009240188322j,-25.3013577777006+23.4598263320164j,78.5140347551537-50.0572372892793j,35.9547761544791-106.422484980058j,160.964260676345+6.51698631239215j
