23.8541455028465-29.0090912434338j,-3.53510081876365-25.9093804052026j,75.4374731323503-32.4886318620665j,-123.648487945058-71.0945400196202j,-96.027052804677+43.2134874711342j,-35.5174761123862+182.896194390999j,-59.1849795998419-118.043696448117j,32.3361603655064+11.465107534344j,1.21646612595697+116.947405421952j,1.14813279706815-2.16722681403035j
40.0291664481461+19.4972894908461j,-51.1679550657965+58.7576863490487j,-84.9491746767625-94.2613613133763j,17.9411201320103+56.4084028588138j,48.6697961065358-216.109558047855j,-29.1899312314198-10.1968429361107j,34.8850419262094+89.7394547948089j,-41.054220717661+6.35982471552559j,-73.8781639143201+41.048650207752j,16.7888137489214-105.083196086707j
0.168402180975463+42.6942513731465j,-38.177756249313-21.5663596754591j,-4.46612512562706-101.660513241654j,-83.4597672782263-26.2051075618842j,-50.5868398821204-31.3075993548912j,-9.29621463760853+135.914080992055j,15.1179592368972-13.8574166988299j,26.8478888233605-29.5358588352707j,-37.5717677697618+116.252931980747j,46.1661443471993-64.0365665691086j
50.2324007165098-57.9889410869605j,-8.68022127489483+49.1289869780254j,14.510225733144-39.9688256974999j,-38.3668122981522+15.0769379473976j,4.62754701898269-117.966879833342j,-48.2006228507782+50.7917553480039j,-69.7558154797074-8.36872283209998j,-33.4306324840543+55.3858388029422j,-29.7744334404084+36.6677776336747j,-22.7787268990315-27.0889728979075j
6.15189838092592+105.088388878677j,-78.1749455991063-5.82973306039028j,-102.621024500199-126.495957418258j,-25.3938882796783+4.57061216351858j,-24.150199718432-127.915817236755j,3.51592635537023+76.620761368051j,123.216827064749+52.7165179941165j,17.1737296804035-76.2357052183838j,-70.2757950227541+126.597675582752j,66.0606405737694-140.525394681336j
33.2379455473486-91.0297309850209j,21.5822885105429+33.4593241901817j,79.4873355573559-45.5373145621605j,-81.7928871764284+2.51609827953499j,-8.51358355458293-46.8767000654871j,-49.9504633971321+95.8930053031077j,-149.071241405923-30.1556422275029j,-23.7402749918623+90.708747731144j,-12.3330308399237+28.0231892832238j,-24.51168860327+27.1222492265785j
25.8893633063907+99.0998238309842j,-92.2154737903608+6.77254321642686j,-120.522752646005-97.4519938853056j,-9.38668963539637+3.44261472848233j,-25.7686361842211-153.771454005559j,3.38040277796062+57.5425325448537j,148.27385959638+31.1981399767255j,10.7902162497639-93.3571114603856j,-63.1831510697566+130.453824517621j,49.8007023182047-159.15878102333j
21.4240635752495-49.6995284990417j,19.5253025552065+30.90292869851j,38.989637044692-80.9649881030171j,-63.9117401224435+13.723635475486j,-8.58433418760472-72.5652871933093j,-49.0220822754566+86.7831857375544j,-106.536943772491+20.0091334305029j,-23.8245403624075+88.0129242787667j,-37.0183873102507+36.5062131684805j,-4.2730529400799+3.73364486465091j
23.3276642802117+32.3232614822237j,-76.1303105491228-1.00196497200444j,-36.0810354486633-70.9924982775921j,-58.0543792047694-6.03758868746534j,-20.2042668193041-81.5754009006106j,12.4825086024351+92.4219646554403j,44.2732810607347-26.0541731121251j,18.9731123787458-73.2895018648395j,-22.5281418959024+110.689014257697j,32.1712487795359-100.632525542744j
40.4000608673648+23.1579851191612j,-3.03909956728774+50.2846062744644j,-72.6034567510855-84.7458793288232j,4.76889185623933+16.7940914508726j,-32.6029089331273-172.186125851833j,-65.8271247839096+37.8482154637969j,36.8324408019426+63.2766071272482j,-39.0182167736862+57.5380508410121j,-78.5883285188335+67.7561625205146j,-1.71542579642903-75.7547659473982j
-6.12564641066033-29.3687756658023j,-53.2946864045377-25.3055354366829j,68.5902499497465-91.2140841926466j,-129.761129210709+3.87802875194436j,15.1890935697533+21.8404644333828j,40.5404580577405+143.021372061821j,-103.400177526824-42.2877456806065j,37.2786782252722-40.5046462315084j,15.3025745400779+76.9382408359634j,42.4670920390773-21.9656338587981j
